text,isDeleted,favorites,retweets,day,time,contains_word,wall,fake_news,media,democrat,great,proud_boys,election_period
republicans and democrats have both created our economic problems,f,49,255,8/2/2011,18:07,1,0,0,0,1,0,0,Pre
i was thrilled to be back in the great city of charlotte north carolina with thousands of hardworking american patriots who love our country cherish our values respect our laws and always put america first thank you for a wonderful evening kag2020 ,f,73748,17404,3/3/2020,1:34,1,0,0,0,0,1,0,Post
the unsolicited mail in ballot scam is a major threat to our democracy  the democrats know it almost all recent elections using this system even though much smaller   with far fewer ballots to count have ended up being a disaster large numbers of missing ballots  fraud,f,80527,23502,9/12/2020,20:10,1,0,0,0,1,0,0,Post
getting a little exercise this morning ,f,285863,30209,2/1/2020,16:14,0,0,0,0,0,0,0,Post
thank you elise ,f,48510,11608,1/9/2020,12:24,0,0,0,0,0,0,0,Post
as per your request joe  ,f,253761,79855,10/23/2020,4:09,0,0,0,0,0,0,0,Post
the threshold identification of ballots is turning out to be even bigger than originally anticipated a very large number of ballots are impacted stay tuned,f,493076,100609,11/9/2020,19:36,0,0,0,0,0,0,0,Post
â€œiâ€™m running as a proud democrat for the senateâ€ sleepy joe biden today itâ€™s only going to get worse it is not sustainable for our county  china will own us,f,142084,32953,10/12/2020,22:22,1,0,0,0,1,0,0,Post
huge win today for the united states and for peace in the world sudan has agreed to a peace and normalization agreement with israel with the united arab emirates and bahrain thatâ€™s three arabâ countries to have done so in only a matter of weeks more will follow ,f,215994,51830,10/23/2020,16:55,0,0,0,0,0,0,0,Post
thank you megyn ,f,178163,24864,10/23/2020,15:04,0,0,0,0,0,0,0,Post
11 days maga ,f,197604,49800,10/23/2020,5:26,0,0,0,0,0,0,0,Post
nevada is turning out to be a cesspool of fake votes    are finding things that when released will be absolutely shocking,f,363489,78378,11/9/2020,19:54,0,0,0,0,0,0,0,Post
wisconsin is looking very good needs a little time statutorily will happen soon  ,f,347994,61006,11/9/2020,20:02,0,0,0,0,0,0,0,Post
nobody is showing up for obamaâ€™s hate laced speeches 47 people no energy but still better than joe,f,195132,33268,10/24/2020,20:11,0,0,0,0,0,0,0,Post
